,7_water,7_food,7_meds,7_faid,7_warm,7_transp,7_comm,7_sani,7_power,7_shelter
7_water,1.0,0.7287064947829118,0.40646616084631426,0.3433665204056691,0.416482629241886,0.35422264465793274,0.31589628445928786,0.44647510068427,0.546578545155116,0.5282484907740089
7_food,0.7287064947829118,1.0,0.4759371345904603,0.4769326942773111,0.4976545164271,0.3945634000917586,0.41070442088888603,0.4120004630979923,0.5351607283428413,0.5337652661869515
7_meds,0.40646616084631426,0.4759371345904603,1.0,0.4736114771752445,0.3615382102131438,0.4596406971808511,0.40587962238464514,0.3022181361965607,0.5133740572332416,0.4666895273837954
7_faid,0.3433665204056691,0.4769326942773111,0.4736114771752445,1.0,0.6559598372076891,0.45404953027418377,0.701213954464674,0.42966622393057796,0.48138397160027885,0.43461109622545885
7_warm,0.416482629241886,0.4976545164271,0.3615382102131438,0.6559598372076891,1.0,0.5049716303487329,0.5996027586807474,0.47088616151248314,0.5830981184414554,0.5164497226346587
7_transp,0.35422264465793274,0.3945634000917586,0.4596406971808511,0.45404953027418377,0.5049716303487329,1.0,0.6334060229991169,0.5522070175871723,0.5782552602769837,0.5271631989688162
7_comm,0.31589628445928786,0.41070442088888603,0.40587962238464514,0.701213954464674,0.5996027586807474,0.6334060229991169,1.0,0.500953284127455,0.5690802081412725,0.45717453704994687
7_sani,0.44647510068427,0.4120004630979923,0.3022181361965607,0.42966622393057796,0.47088616151248314,0.5522070175871723,0.500953284127455,1.0,0.5410893079406249,0.556526119042071
7_power,0.546578545155116,0.5351607283428413,0.5133740572332416,0.48138397160027885,0.5830981184414554,0.5782552602769837,0.5690802081412725,0.5410893079406249,1.0,0.7060624912836857
7_shelter,0.5282484907740089,0.5337652661869515,0.4666895273837954,0.43461109622545885,0.5164497226346587,0.5271631989688162,0.45717453704994687,0.556526119042071,0.7060624912836857,1.0
