,7_water,7_food,7_meds,7_faid,7_warm,7_transp,7_comm,7_sani,7_power,7_shelter
7_water,1.0,0.7539709332939191,0.42975111137201527,0.42770845586956857,0.4873584843632233,0.3669717717572642,0.36043897034675126,0.45720168247467546,0.4209486927264018,0.426853498087437
7_food,0.7539709332939191,1.0,0.4069267602714095,0.5657617081631069,0.579342808425648,0.43268231752276953,0.44879859908364694,0.4618813777933884,0.5012442733400049,0.4648651679899224
7_meds,0.42975111137201527,0.4069267602714095,1.0,0.3823485084927507,0.33526780859036254,0.3121248285259475,0.3389110752341185,0.3116850515339382,0.36415445490973825,0.38819532576610066
7_faid,0.42770845586956857,0.5657617081631069,0.3823485084927507,1.0,0.7489262084618421,0.46754564128863635,0.5769034930010534,0.5526304064336826,0.4852725043409556,0.48277016355453994
7_warm,0.4873584843632233,0.579342808425648,0.33526780859036254,0.7489262084618421,1.0,0.45653630373939746,0.5689133650091398,0.6298712591745722,0.5541123125742257,0.5262270272183144
7_transp,0.3669717717572642,0.43268231752276953,0.3121248285259475,0.46754564128863635,0.45653630373939746,1.0,0.6637909745716334,0.4805828127622882,0.5218621662149187,0.5569584127326225
7_comm,0.36043897034675126,0.44879859908364694,0.3389110752341185,0.5769034930010534,0.5689133650091398,0.6637909745716334,1.0,0.5012482453415468,0.4910395954067465,0.5121829939927387
7_sani,0.45720168247467546,0.4618813777933884,0.3116850515339382,0.5526304064336826,0.6298712591745722,0.4805828127622882,0.5012482453415468,1.0,0.6222798123678261,0.5341232322489295
7_power,0.4209486927264018,0.5012442733400049,0.36415445490973825,0.4852725043409556,0.5541123125742257,0.5218621662149187,0.4910395954067465,0.6222798123678261,1.0,0.6439688396510231
7_shelter,0.426853498087437,0.4648651679899224,0.38819532576610066,0.48277016355453994,0.5262270272183144,0.5569584127326225,0.5121829939927387,0.5341232322489295,0.6439688396510231,1.0
