,7_water,7_food,7_meds,7_faid,7_warm,7_transp,7_comm,7_sani,7_power,7_shelter
7_water,0.9888838130044163,0.6915346356970717,0.4858739681074706,0.37302674991117196,0.4362215115983962,0.32851909994767137,0.31645735217163773,0.426292344348907,0.3730195354560837,0.3691514670896117
7_food,0.6915346356970717,0.8535353535353536,0.4281392606265704,0.45885248423319486,0.4821565912936473,0.35789056304520256,0.365159925984668,0.3996943955247073,0.4113747021651301,0.37118743656855957
7_meds,0.4858739681074706,0.4281392606265704,1.2969286776393374,0.38224888478695596,0.34394708506383653,0.32188739095955593,0.3423209093312183,0.3336527504402778,0.36825339272764945,0.38229795416911483
7_faid,0.37302674991117196,0.45885248423319486,0.38224888478695596,0.7691995330186282,0.5912136439774631,0.3732077446363161,0.4468341182626896,0.455506060292137,0.38024919243193367,0.3683584456780331
7_warm,0.4362215115983962,0.4821565912936473,0.34394708506383653,0.5912136439774631,0.8101619207146847,0.3741496598639455,0.4527734170591312,0.532684139645706,0.4455468389478541,0.4123711340206187
7_transp,0.32851909994767137,0.35789056304520256,0.32188739095955593,0.3732077446363161,0.3741496598639455,0.830350601779173,0.5309014010044933,0.40743015864537113,0.4222919937205654,0.43874136442141637
7_comm,0.31645735217163773,0.365159925984668,0.3423209093312183,0.4468341182626896,0.4527734170591312,0.5309014010044933,0.7883568812140241,0.4147481437957373,0.3900837257980115,0.3966429188255613
7_sani,0.426292344348907,0.3996943955247073,0.3336527504402778,0.455506060292137,0.532684139645706,0.40743015864537113,0.4147481437957373,0.8799336993680716,0.519047619047619,0.434666450777202
7_power,0.3730195354560837,0.4113747021651301,0.36825339272764945,0.38024919243193367,0.4455468389478541,0.4222919937205654,0.3900837257980115,0.519047619047619,0.7967235809875411,0.501189532117367
7_shelter,0.3691514670896117,0.37118743656855957,0.38229795416911483,0.3683584456780331,0.4123711340206187,0.43874136442141637,0.3966429188255613,0.434666450777202,0.501189532117367,0.753370340999207
